datetime,ow_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,day_of_week,is_weekend,aqi_change_rate,aqi_change_rate_pct,aqi_rolling_3h,aqi_rolling_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,no2_rolling_3h,no2_rolling_24h,so2_rolling_3h,so2_rolling_24h,co_rolling_3h,co_rolling_24h,o3_rolling_3h,o3_rolling_24h,target_aqi,target_aqi_category
2025-08-10 19:00:00,2,72.68,0.0,0.07,38.46,0.3,9.19,37.38,0.0,2025,8,10,19,6,1,0.0,0.0,2.0,2.0,9.19,9.19,37.38,37.38,0.07,0.07,0.3,0.3,72.68,72.68,38.46,38.46,2,1
2025-08-10 20:00:00,2,72.98,0.0,0.07,38.7,0.3,8.71,35.77,0.0,2025,8,10,20,6,1,0.0,0.0,2.0,2.0,8.95,8.95,36.575,36.575,0.07,0.07,0.3,0.3,72.83000000000001,72.83000000000001,38.58,38.58,2,1
2025-08-10 21:00:00,2,73.66,0.0,0.07,38.91,0.3,8.31,34.21,0.0,2025,8,10,21,6,1,0.0,0.0,2.0,2.0,8.736666666666666,8.736666666666666,35.78666666666667,35.78666666666667,0.07,0.07,0.3,0.3,73.10666666666667,73.10666666666667,38.69,38.69,2,1
2025-08-10 22:00:00,2,74.58,0.0,0.06,39.17,0.29,7.99,32.05,0.0,2025,8,10,22,6,1,0.0,0.0,2.0,2.0,8.336666666666668,8.55,34.01,34.8525,0.0666666666666666,0.0675,0.2966666666666666,0.2975,73.74,73.475,38.92666666666667,38.81,2,1
2025-08-10 23:00:00,2,75.3,0.0,0.06,39.42,0.28,7.87,29.75,0.0,2025,8,10,23,6,1,0.0,0.0,2.0,2.0,8.056666666666667,8.414,32.00333333333333,33.832,0.0633333333333333,0.066,0.29,0.294,74.51333333333334,73.84,39.16666666666666,38.932,2,1
2025-08-11 00:00:00,2,76.07,0.0,0.06,39.67,0.27,7.97,28.4,0.0,2025,8,11,0,0,0,0.0,0.0,2.0,2.0,7.943333333333332,8.34,30.066666666666663,32.92666666666667,0.06,0.065,0.28,0.29,75.31666666666666,74.21166666666666,39.42000000000001,39.055,2,1
2025-08-11 01:00:00,2,76.64,0.0,0.06,39.92,0.28,8.27,29.02,0.0,2025,8,11,1,0,0,0.0,0.0,2.0,2.0,8.036666666666667,8.33,29.05666666666667,32.36857142857143,0.06,0.0642857142857143,0.2766666666666666,0.2885714285714286,76.00333333333333,74.55857142857143,39.67,39.17857142857143,2,1
2025-08-11 02:00:00,2,77.33,0.0,0.07,40.1,0.29,8.69,30.59,0.0,2025,8,11,2,0,0,0.0,0.0,2.0,2.0,8.31,8.375,29.336666666666662,32.14625,0.0633333333333333,0.065,0.28,0.28875,76.67999999999999,74.905,39.89666666666667,39.29375,2,1
2025-08-11 03:00:00,2,78.37,0.0,0.07,40.25,0.29,8.89,31.1,0.0,2025,8,11,3,0,0,0.0,0.0,2.0,2.0,8.616666666666667,8.432222222222222,30.236666666666668,32.03,0.0666666666666666,0.0655555555555555,0.2866666666666667,0.2888888888888889,77.44666666666666,75.29,40.09,39.400000000000006,2,1
2025-08-11 04:00:00,2,79.32,0.01,0.06,40.28,0.29,9.03,31.87,0.0,2025,8,11,4,0,0,0.0,0.0,2.0,2.0,8.87,8.492,31.186666666666667,32.014,0.0666666666666666,0.065,0.29,0.289,78.33999999999999,75.693,40.21,39.488,2,1
2025-08-11 05:00:00,2,80.06,0.01,0.05,40.07,0.31,9.45,34.6,0.0,2025,8,11,5,0,0,0.0,0.0,2.0,2.0,9.123333333333331,8.57909090909091,32.52333333333333,32.24909090909091,0.06,0.0636363636363636,0.2966666666666666,0.2909090909090909,79.25,76.09,40.2,39.54090909090909,2,1
2025-08-11 06:00:00,2,80.16,0.01,0.04,39.54,0.32,10.09,38.89,0.0,2025,8,11,6,0,0,0.0,0.0,2.0,2.0,9.523333333333332,8.705,35.12,32.8025,0.0499999999999999,0.0616666666666666,0.3066666666666666,0.2933333333333333,79.84666666666668,76.42916666666666,39.96333333333333,39.54083333333333,2,1
2025-08-11 07:00:00,2,79.75,0.01,0.04,38.61,0.33,10.83,43.73,0.0,2025,8,11,7,0,0,0.0,0.0,2.0,2.0,10.123333333333331,8.868461538461538,39.07333333333333,33.643076923076926,0.0433333333333333,0.06,0.32,0.2961538461538461,79.99000000000001,76.68461538461538,39.406666666666666,39.46923076923077,2,1
2025-08-11 08:00:00,2,79.13,0.01,0.04,37.58,0.33,11.33,47.11,0.0,2025,8,11,8,0,0,0.0,0.0,2.0,2.0,10.75,9.044285714285715,43.24333333333333,34.605000000000004,0.04,0.0585714285714285,0.3266666666666666,0.2985714285714285,79.68,76.85928571428572,38.57666666666667,39.33428571428572,2,1
2025-08-11 09:00:00,2,78.09,0.01,0.04,36.7,0.33,11.6,48.99,0.0,2025,8,11,9,0,0,0.0,0.0,2.0,2.0,11.253333333333332,9.214666666666666,46.60999999999999,35.564,0.04,0.0573333333333333,0.33,0.3006666666666666,78.99,76.94133333333333,37.63,39.15866666666667,2,1
2025-08-11 10:00:00,3,76.84,0.01,0.04,36.01,0.33,11.72,50.07,0.0,2025,8,11,10,0,0,1.0,50.0,2.333333333333333,2.0625,11.550000000000002,9.37125,48.723333333333336,36.470625,0.04,0.05625,0.33,0.3025,78.02,76.935,36.76333333333333,38.961875,3,1
2025-08-11 11:00:00,2,75.2,0.01,0.04,35.74,0.33,11.53,49.81,0.0,2025,8,11,11,0,0,-1.0,-33.333333333333336,2.333333333333333,2.0588235294117645,11.616666666666667,9.498235294117649,49.623333333333335,37.25529411764706,0.04,0.0552941176470588,0.33,0.3041176470588235,76.71,76.8329411764706,36.15,38.77235294117647,2,1
2025-08-11 12:00:00,2,73.71,0.01,0.05,35.8,0.34,11.15,48.74,0.0,2025,8,11,12,0,0,0.0,0.0,2.333333333333333,2.055555555555556,11.466666666666669,9.59,49.54,37.89333333333334,0.0433333333333333,0.055,0.3333333333333333,0.3061111111111111,75.25,76.65944444444443,35.85,38.60722222222223,2,1
2025-08-11 13:00:00,2,73.28,0.0,0.07,36.29,0.35,10.65,46.97,0.0,2025,8,11,13,0,0,0.0,0.0,2.0,2.0526315789473686,11.11,9.64578947368421,48.50666666666667,38.37105263157895,0.0533333333333333,0.0557894736842105,0.34,0.308421052631579,74.06333333333333,76.48157894736842,35.94333333333333,38.485263157894735,2,1
